Year,City,Sport,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Skating,"Be_CKL, Willy",AUT,Men,Individual,Silver
1924,Chamonix,Skating,"SZABO-PLANK, Herma",AUT,Women,Individual,Gold
1924,Chamonix,Skating,"BERGER, Alfred",AUT,Men,Pairs,Gold
1924,Chamonix,Skating,"ENGELMANN, Helene",AUT,Women,Pairs,Gold
1924,Chamonix,Bobsleigh,"MORTIAUX, Rene",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,"MULDER, Charles",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,"VAN DEN BROECK, Paul",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,"VERSCHUEREN, Victor",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,"WILLIEMS, Henri",BEL,Men,Four-Man,Bronze
1924,Chamonix,Ice Hockey,"CAMERON, Jack",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"COLLETT, Ernest J.",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MAC CAFFERY, Albert",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MAC MUNN, Harold",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MUNRO, Duncan",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"RAMSAY, W.-Beattie",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"SLATER, Cyril",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"SMITH, Reginald",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"WATSON, Harry",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Biathlon,"BREMER, V.E.",FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,"ESKELINEN, A.",FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,"HIRVONEN, H.",FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,"LAPPALAINEN, Martti",FIN,Men,Military Patrol,Silver
1924,Chamonix,Skating,"JAKOBSSON, Ludowika",FIN,Women,Pairs,Silver
1924,Chamonix,Skating,"JAKOBSSON, Walter",FIN,Men,Pairs,Silver
1924,Chamonix,Skating,"SKUTNABB, Julius",FIN,Men,10000M,Gold
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,10000M,Silver
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,1500M,Gold
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,5000M,Gold
1924,Chamonix,Skating,"SKUTNABB, Julius",FIN,Men,5000M,Silver
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,500M,Bronze
1924,Chamonix,Skating,"SKUTNABB, Julius",FIN,Men,Combined (4 Events),Bronze
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,Combined (4 Events),Gold
1924,Chamonix,Skiing,"NIKU, Tapani",FIN,Men,18KM,Bronze
1924,Chamonix,Biathlon,"BERTHET, G.",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,"MANDRILLON, C.",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,"MANDRILLON, Maurice",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,"VANDELLE, Andre",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Curling,"ALDEERT, H.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,"ANDRE, Georges",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,BENEDIC,FRA,Men,Curling,Bronze
1924,Chamonix,Curling,"CANIVET, P.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,"COURNOLLET, F.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,"PLANQUE, R.",FRA,Men,Curling,Bronze
1924,Chamonix,Skating,"BRUNET, Andree",FRA,Women,Pairs,Bronze
1924,Chamonix,Skating,"BRUNET, Pierre",FRA,Men,Pairs,Bronze
1924,Chamonix,Bobsleigh,"ARNOLD, Thomas",GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,"BROOME, Ralpf",GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,"RICHARDSON, Alexander",GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,"SOHER, Rodney",GBR,Men,Four-Man,Silver
1924,Chamonix,Curling,"AIKMAN, T.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"ASTLEY, D.-G.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"BROWN, V.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"COUSIN, R.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"JACKSON, V.-K.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"MC LEOD, J.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"MURRAY, T.-B.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"WELSH, R.",GBR,Men,Curling,Gold
1924,Chamonix,Ice Hockey,"ANDERSON, William",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"BOULDEN, C.-B.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CARR-HARRIS, Louis Howland",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CARRUTHERS, Colin Gordon",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CARRUTHERS, Eric Dudley",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CLARKSON, Guy E.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CUTHBERT, Ross George",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"HOLMES, George",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"JUKES, Hamilton",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"PATTON, B.-N.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"PITBLADO, Edward",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"SEXTON, Blane Nathaniel",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Skating,"MUCKELT, Ethel",GBR,Women,Individual,Bronze
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,10000M,Bronze
1924,Chamonix,Skating,"MOEN, Sigurd",NOR,Men,1500M,Bronze
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,1500M,Silver
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,5000M,Bronze
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,500M,Bronze
1924,Chamonix,Skating,"OLSEN, Oskar",NOR,Men,500M,Silver
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,Combined (4 Events),Silver
1924,Chamonix,Skiing,"HAUG, Thorleif",NOR,Men,18KM,Gold
1924,Chamonix,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,18KM,Silver
1924,Chamonix,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,50KM,Bronze
1924,Chamonix,Skiing,"HAUG, Thorleif",NOR,Men,50KM,Gold
1924,Chamonix,Skiing,"STRe_MSTAD, Thoralf",NOR,Men,50KM,Silver
1924,Chamonix,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,Individual,Bronze
1924,Chamonix,Skiing,"HAUG, Thorleif",NOR,Men,Individual,Gold
1924,Chamonix,Skiing,"STRe_MSTAD, Thoralf",NOR,Men,Individual,Silver
1924,Chamonix,Skiing,"THAMS, Jacob Tullin",NOR,Men,K90 Individual (70M),Gold
1924,Chamonix,Skiing,"BONNA, Narve",NOR,Men,K90 Individual (70M),Silver
1924,Chamonix,Biathlon,"AUFDENBLATTEN, Adolf",SUI,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,"JULEN, Alphonse",SUI,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,"JULEN, Ant.",SUI,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,"VAUCHER, D.",SUI,Men,Military Patrol,Gold
1924,Chamonix,Bobsleigh,"NEVEU, Alfred",SUI,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,"SCHERRER, Eduard",SUI,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,"SCHLePPI, Alfred",SUI,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,"SCHLePPI, Heinrich",SUI,Men,Four-Man,Gold
1924,Chamonix,Skating,"GAUTSCHI, Georges",SUI,Men,Individual,Bronze
1924,Chamonix,Curling,"AHLEN, J.P.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,"KRONLUND, Carl Augustus Verner",SWE,Men,Curling,Silver
1924,Chamonix,Curling,"ODLUND, T.-M.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,"PETERSEN, C.-W.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,"PETTERSSON, C.-A.-F.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,"SEVERIN, E.-O.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,"WAHLBERG, K.-E.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,"WETTERSTROM, V.-E.",SWE,Men,Curling,Silver
1924,Chamonix,Skating,"GRAFSTRe_M, Gillis",SWE,Men,Individual,Gold
1924,Chamonix,Ice Hockey,"ABEL, Clarence John",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"DRURY, Herbert L.",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"GERAN, N.",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"LACROIX, Alphonse",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"LANGLEY, John Arthur",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"LYONS, John Sharkey",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"MAC CARTHY, Justin",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"RICE, Willard",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"SMALL, Irving Wheeler",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"SYNNOTT, Francis Allen",USA,Men,Ice Hockey,Silver
1924,Chamonix,Skating,"LOUGHRAN, Beatrix",USA,Women,Individual,Silver
1924,Chamonix,Skating,"JEWTRAW, Charles",USA,Men,500M,Gold
1924,Chamonix,Skiing,"HAUGEN, Anders",USA,Men,K90 Individual (70M),Bronze